frequency	resources	influence
20.5	5.0	2.0
21.0	1.0	1.0
21.5	4.0	4.0
22.0	4.0	6.0
22.5	8.0	6.0
23.0	10.0	5.0
23.5	30.0	15.0
24.0	34.0	25.0
24.5	41.0	26.0
25.0	73.0	38.0
25.5	102.0	53.0
26.0	118.0	68.0
26.5	193.0	82.0
27.0	240.0	117.0
27.5	277.0	143.0
28.0	395.0	156.0
28.5	501.0	227.0
29.0	577.0	277.0
29.5	730.0	299.0
30.0	834.0	355.0
30.5	1004.0	393.0
31.0	1112.0	493.0
31.5	1402.0	641.0
32.0	1506.0	686.0
32.5	1855.0	765.0
33.0	1891.0	849.0
33.5	2257.0	942.0
34.0	2420.0	995.0
34.5	2706.0	1098.0
35.0	2811.0	1256.0
35.5	3105.0	1289.0
36.0	3360.0	1379.0
36.5	3466.0	1511.0
37.0	3611.0	1669.0
37.5	3693.0	1780.0
38.0	3686.0	1846.0
38.5	3829.0	1960.0
39.0	3844.0	2086.0
39.5	3759.0	2106.0
40.0	3714.0	2201.0
40.5	3749.0	2403.0
41.0	3605.0	2397.0
41.5	3472.0	2416.0
42.0	3301.0	2414.0
42.5	3168.0	2554.0
43.0	2918.0	2615.0
43.5	2647.0	2780.0
44.0	2561.0	2573.0
44.5	2195.0	2693.0
45.0	1939.0	2712.0
45.5	1799.0	2731.0
46.0	1576.0	2704.0
46.5	1469.0	2748.0
47.0	1184.0	2621.0
47.5	996.0	2653.0
48.0	833.0	2621.0
48.5	733.0	2574.0
49.0	572.0	2480.0
49.5	503.0	2333.0
50.0	380.0	2219.0
50.5	306.0	2145.0
51.0	242.0	1994.0
51.5	182.0	1845.0
52.0	137.0	1684.0
52.5	102.0	1695.0
53.0	80.0	1431.0
53.5	40.0	1361.0
54.0	39.0	1277.0
54.5	26.0	1091.0
55.0	13.0	968.0
55.5	15.0	872.0
56.0	3.0	747.0
56.5	3.0	678.0
57.0	2.0	518.0
57.5	0.0	501.0
58.0	2.0	436.0
58.5	0.0	369.0
59.0	0.0	273.0
59.5	0.0	229.0
60.0	0.0	179.0
60.5	0.0	175.0
61.0	0.0	107.0
61.5	0.0	100.0
62.0	0.0	78.0
62.5	0.0	40.0
63.0	0.0	39.0
63.5	0.0	19.0
64.0	0.0	23.0
64.5	0.0	21.0
65.0	0.0	5.0
65.5	0.0	4.0
66.0	0.0	3.0
67.0	0.0	2.0